,Area,Perimeter,MajorAxisLength,MinorAxisLength,roundnes
111,33634,670.53,242.6749657,176.8391369,0.940052172
3,128118,1360.135,504.0249642,239.73014333173074,0.870273946
125,34663,691.502,252.5251606,175.3797061,0.910938652
101,31751,671.914,244.102719,168.5224911,0.883771295
15,134251,1391.532,523.6290209,327.6755204,0.871246402
109,33587,672.575,240.3770452,178.6807736,0.933038657
76,57017,903.559,349.8119042,210.8011319,0.877609255
72,56627,922.876,356.1840294,203.0456968,0.8355005
32,139523,1410.901,501.721529,354.9685707,0.880770149
6,130070,1362.228,486.7062302,343.114783,0.88082047
81,57786,916.524,331.8750114,224.9344364,0.864459823
12,132889,1373.51,499.646493,339.9068395,0.885187446
96,59208,958.477,371.6911507,203.7493708,0.809891542
147,35561,708.141,259.7683482,174.8105517,0.89113674
75,56834,910.081,341.5703246,212.3913014,0.862299217
102,32857,668.106,233.8049677,179.500919,0.925011278
98,59344,944.279,355.4247825,214.7311272,0.836346064
35,139841,1430.241,524.8024563,341.3400849,0.859064827
128,34783,724.442,252.1944891,175.8885352,0.832855502
19,137075,1432.713,526.8980615,334.1175121,0.839169548
83,57862,951.333,372.4370305,201.9925213,0.803411754
50,45504,793.417,295.4698306,196.3118225,0.908356725
9,132254,1358.189,497.7676684,339.6363418,0.900944965
80,57617,901.703,344.4109267,213.7818121,0.890499083
144,35468,711.867,273.1429586,165.9725366,0.879526324
